"Binomial.1.2","Condition_Met"
"Crocidura_lusitania",0
"Crocidura_macarthuri",0
"Crocidura_macmillani",0
"Crocidura_macowi",0
"Crocidura_malayana",0
"Crocidura_manengubae",0
"Crocidura_maquassiensis",0
"Crocidura_mariquensis",0
"Crocidura_maurisca",0
"Crocidura_maxi",0
"Crocidura_mindorus",0
"Crocidura_miya",0
"Crocidura_monax",0
"Crocidura_monticola",0
"Crocidura_montis",0
"Crocidura_muricauda",0
"Crocidura_musseri",0
"Crocidura_mutesae",0
"Crocidura_nana",0
"Crocidura_nanilla",0
"Crocidura_negligens",0
"Crocidura_negrina",0
"Crocidura_nicobarica",0
"Crocidura_nigeriae",0
"Crocidura_nigricans",0
"Crocidura_nigripes",0
"Crocidura_nigrofusca",0
"Crocidura_nimbae",0
"Crocidura_niobe",0
"Crocidura_obscurior",0
"Crocidura_olivieri",0
"Crocidura_orientalis",0
"Crocidura_orii",0
"Crocidura_pachyura",0
"Crocidura_palawanensis",0
"Crocidura_paradoxura",0
"Crocidura_parvipes",0
"Crocidura_pasha",0
"Crocidura_pergrisea",0
"Crocidura_phaeura",0
"Crocidura_phanluongi",0
"Crocidura_phuquocensis",0
"Crocidura_picea",0
"Crocidura_pitmani",0
"Crocidura_planiceps",0
"Crocidura_poensis",0
"Crocidura_polia",0
"Crocidura_pullata",0
"Crocidura_raineyi",0
"Crocidura_ramona",0
"Crocidura_rapax",0
"Crocidura_religiosa",0
"Crocidura_rhoditis",0
"Crocidura_roosevelti",0
"Crocidura_russula",0
"Crocidura_selina",0
"Crocidura_serezkyensis",0
"Crocidura_shantungensis",0
"Crocidura_sibirica",0
"Crocidura_sicula",0
"Crocidura_silacea",0
"Crocidura_smithii",0
"Crocidura_sokolovi",0
"Crocidura_somalica",0
"Crocidura_stenocephala",0
"Crocidura_suaveolens",0
"Crocidura_susiana",0
"Crocidura_tanakae",0
"Crocidura_tansaniana",0
"Crocidura_tarella",0
"Crocidura_tarfayensis",0
"Crocidura_telfordi",0
"Crocidura_tenuis",0
"Crocidura_thalia",0
"Crocidura_theresae",0
"Crocidura_thomensis",0
