"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"42","Acacia ammophila","6.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","100.00-200.00","2.50-6.00","20.0","4.00-8.00",NA,6,4,0,NA,1,"",3,"",NA,NA,NA,"0.1","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,4,8,6,0.1,0.1,0.1,6,6,6,0
"43","Acacia amoena","1.0-4.0",NA,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-75.00","5.00-12.00","9.0","4.00-6.50",3,6,3,0,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",7,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,6.5,5.25,0.4,0.5,0.45,1,4,2.5,0
"44","Acacia ampliata","2.0-5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","80.00-190.00","3.00-6.00","11.0","5.00-6.00",3,6,3,5,NA,1,"",2,"",NA,NA,NA,"0.5-0.6","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,5,6,5.5,0.5,0.6,0.55,2,5,3.5,0
"45","Acacia ampliceps","3.0-5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","70.00-250.00","7.00-30.00","11.5","4.00-6.00",NA,6,4,3,NA,1,"",3,"",NA,NA,NA,"0.5-0.7","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,11.5,11.5,4,6,5,0.5,0.7,0.6,3,5,4,0
"46","Acacia amputata","0.3-0.6",1,0,NA,"","","","0.50","","",NA,"1.0","1.00-2.00","","","","","","","","","","","",1,"","","","1.5","4.00-5.00",NA,1,1,5,NA,0,"",3,"",NA,NA,NA,"0.2","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,1,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,4,5,4.5,0.2,0.2,0.2,0.3,0.6,0.45,1
"47","Acacia amyctica","0.7-1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","150.00-250.00","2.50-4.00","6.0","3.00",NA,1,0,0,NA,0,"1.0-1.5",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,3,NA,NA,NA,0.7,1.5,1.1,0
"48","Acacia anadenia","1.0",1,1,5,"","","","6.00-10.00","","",NA,"2.0-4.0","22.00-40.00","","7.0-11.0","6.50-9.00","3.50-4.70","","","","","","","",NA,"","","","9.0","5.50-6.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"0.8","0.30-0.35","",NA,"10.0",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","1.0","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,2,4,3,22,40,31,7,11,9,6.5,9,7.75,3.5,4.7,4.1,9,9,9,5.5,6,5.75,0.8,0.8,0.8,1,1,1,0
"49","Acacia anarthros","0.2-0.5",1,0,NA,"","","","","3.00-7.00","",NA,"1.0","2.00-5.00","","","","","","","","","","","",NA,"","","","6.0","5.00-8.00",NA,0,NA,5,NA,1,"",2,"",NA,NA,NA,"0.3-0.4","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,2,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,8,6.5,0.3,0.4,0.35,0.2,0.5,0.35,1
"50","Acacia anasilla","2.0",1,0,NA,"","","","","1.50-2.00","",NA,"","","","","","","","","","","","","",0,"","5.00-10.00","","2.0-3.5","5.00-6.00",3,0,0,NA,NA,1,"",3,"",NA,NA,NA,"0.4","","",NA,"3.0-10.0",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","1.5-2.0","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.5,2.75,5,6,5.5,0.4,0.4,0.4,2,2,2,0
"51","Acacia anastema","6.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","110.00-320.00","2.00-6.00","14.0","0.20-0.30",NA,6,0,5,0,1,"",23,"",NA,NA,NA,"0.5-0.6","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,0.2,0.3,0.25,0.5,0.6,0.55,6,6,6,0
"52","Acacia anastomosa","1.0-2.0",1,NA,NA,"","","","","0.50","",0,"","","","","","","","","","","","","",NA,"","","","5.0-10.0","7.00-10.00",3,NA,NA,NA,NA,NA,"",NA,"",1,NA,NA,"","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,7.5,7,10,8.5,NA,NA,NA,1,2,1.5,0
"53","Acacia anaticeps","7.0",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","28.0","20.00",1,1,4,35,NA,1,"",3,"",1,6,NA,"","","",NA,"",0,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(6)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,28,20,20,20,NA,NA,NA,7,7,7,0
"54","Acacia anceps","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-65.00","8.00-30.00","6.0","10.00-15.00",2,0,3,35,NA,1,"",3,"",NA,NA,NA,"0.5-0.6","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(1)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,10,15,12.5,0.5,0.6,0.55,3,3,3,0
"55","Acacia ancistrocarpa","1.5-4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-180.00","3.00-10.00","6.0-11.5","",3,0,3,3,NA,1,"",3,"",1,4,NA,"0.6-0.7","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11.5,8.75,NA,NA,NA,0.6,0.7,0.65,1.5,4,2.75,0
"56","Acacia ancistrophylla","0.6-2.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","12.00-48.00","1.50-5.00","4.0","1.50-3.00",2,16,NA,2,NA,1,"",23,"",NA,NA,NA,"0.3-0.4","","",3,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","(0)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1.5,3,2.25,0.3,0.4,0.35,0.6,2.5,1.55,0
"57","Acacia andrewsii","2.0",1,0,NA,"","","","","1.00-1.50","",NA,"","","","","","","","","","","","","",0,"","7.00-22.00","1.00-2.00","6.5","4.00-5.00",3,1,2,23,1,1,"",3,"",NA,NA,NA,"0.4-0.5","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(0)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,6.5,4,5,4.5,0.4,0.5,0.45,2,2,2,1
"58","Acacia aneura","2.5-7.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-120.00","15.00-30.00","1.5-4.0","7.00-15.00",3,0,0,5,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","0.23-0.30","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(2)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,4,2.75,7,15,11,0.4,0.5,0.45,2.5,7,4.75,0
"59","Acacia anfractuosa","2.0-4.0",1,1,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","80.00-170.00","1.00-2.00","12.0","1.50-2.50",3,1,1,0,NA,1,"",2,"",NA,NA,NA,"0.5","0.50","",3,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,1.5,2.5,2,0.5,0.5,0.5,2,4,3,0
"60","Acacia angusta","3.0-6.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","90.00-20.00","1.80-3.00","14.0","5.00",3,6,NA,2,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",7,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,5,5,5,0.4,0.5,0.45,3,6,4.5,0
"61","Acacia anomala","0.2-0.5",1,1,5,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-100.00","2.00-6.00","5.0","3.00-4.00",NA,0,NA,5,NA,1,"",3,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,4,3.5,0.3,0.3,0.3,0.2,0.5,0.35,0
"62","Acacia anserina","1.0",1,0,NA,"","","","","1.00-1.50","",2,"","","","","","","","","","","","","",0,"","4.00-6.00","2.50-4.00","","4.00-5.00",3,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","(0)","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.5,NA,NA,NA,1,1,1,0
"63","Acacia anthochaera","2.0-5.0",1,1,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","90.00-150.00","2.00-5.00","8.5","5.00-8.00",3,0,NA,0,NA,1,"",NA,"",NA,NA,NA,"0.4-0.5","","",3,"",0,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,8.5,5,8,6.5,0.4,0.5,0.45,2,5,3.5,0
"64","Acacia aphanoclada","6.0",1,NA,NA,"","","","","2.50-4.00","",NA,"","","","","","","","","","","","","",0,"","20.00-45.00","1.50-3.00","6.0-7.0","6.00-8.00",NA,0,1,0,NA,1,"",NA,"",NA,NA,NA,"0.4-0.5","","",7,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6.5,6,8,7,0.4,0.5,0.45,6,6,6,0
"65","Acacia aphylla","2.3",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",1,"","","","3.0-9.0","3.00-4.00",2,6,NA,2,NA,1,"",3,"",NA,NA,NA,"0.4-0.5","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(1)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,6,3,4,3.5,0.4,0.5,0.45,2.3,2.3,2.3,0
"66","Acacia applanata","0.1-0.4",1,1,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","1.50-5.00","","3.0","7.00-8.00",NA,1,NA,5,NA,1,"",2,"",NA,NA,NA,"3.0-4.0","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,7,8,7.5,3,4,3.5,0.1,0.4,0.25,0
"67","Acacia aprepta","10.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.50-8.50","3.00-8.00","2.5-6.0","5.00-10.00",3,6,3,0,NA,1,"",3,"",NA,NA,NA,"0.2-0.4","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6,4.25,5,10,7.5,0.2,0.4,0.3,10,10,10,0
"68","Acacia aprica","2.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","5.00-11.00","1.00-1.50","6.0","2.00",NA,6,2,5,NA,1,"",2,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,2,2,0.3,0.3,0.3,2,2,2,0
"69","Acacia aptaneura","3.0-10.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-100.00","0.80-1.50","2.0-6.0","5.00-10.00",4,0,0,0,1,1,"",3,"",NA,NA,NA,"0.4-0.5","0.30-0.40","",NA,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,5,10,7.5,0.4,0.5,0.45,3,10,6.5,0
"70","Acacia arafurica","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","15.00-34.00","9.00-25.00","6.5-10.5","",NA,6,4,0,NA,1,"",2,"",NA,NA,NA,"0.5-0.7","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,10.5,8.5,NA,NA,NA,0.5,0.7,0.6,4,4,4,0
"71","Acacia araneosa","3.0-8.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","180.00-350.00","1.00-2.00","14.5","4.00-6.00",NA,6,1,25,NA,1,"",3,"",NA,NA,NA,"0.5","","",0,"",1,1,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,14.5,14.5,4,6,5,0.5,0.5,0.5,3,8,5.5,0
"72","Acacia arbiana","1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","8.00-16.00","0.60-0.80","4.5","10.00-14.00",NA,0,NA,NA,NA,1,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,10,14,12,NA,NA,NA,1.5,1.5,1.5,0
"73","Acacia arcuatilis","0.4-0.8",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","30.00-60.00","","6.0","1.50-2.00",NA,26,23,2,NA,1,"",2,"",NA,NA,NA,"0.2-0.3","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,1.5,2,1.75,0.2,0.3,0.25,0.4,0.8,0.6,0
"74","Acacia areolata","2.0-4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-120.00","20.00-40.00","2.5-7.5","9.00-15.00",NA,0,NA,NA,1,1,"",3,"",NA,NA,NA,"0.6-0.7","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.5,5,9,15,12,0.6,0.7,0.65,2,4,3,0
"75","Acacia argentina","4.0",1,0,5,"8.00-24.00","","5.00-15.00","3.00-8.00","","",NA,"2.0-3.0","13.00-20.00","","6.0-9.0","6.00-9.00","1.40-2.80","","","","","","","",1,"","","","6.0","",NA,0,NA,NA,NA,1,"",2,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(4)","","","","","","#Name?","#Name?","","","",8,24,16,5,15,10,2,3,2.5,13,20,16.5,6,9,7.5,6,9,7.5,1.4,2.8,2.1,6,6,6,NA,NA,NA,NA,NA,NA,4,4,4,0
"76","Acacia argutifolia","0.2-0.5",1,NA,NA,"","","","","1.50-2.00","",NA,"","","","","","","","","","","","","",0,"","6.00-13.00","1.00","4.0","2.00-4.00",3,0,3,NA,2,1,"",3,"",NA,NA,NA,"0.3","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,4,3,0.3,0.3,0.3,0.2,0.5,0.35,0
"77","Acacia argyraea","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-80.00","15.00-35.00","6.0-8.5","",NA,6,2,3,1,1,"",2,"",1,1,NA,"","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.5,7.25,NA,NA,NA,NA,NA,NA,3,3,3,0
"78","Acacia argyrodendron","8.0-25.0",0,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","80.00-170.00","4.00-13.00","12.0","10.00-13.00",NA,6,NA,NA,NA,1,"",3,"",NA,NA,NA,"1.0-1.3","","",3,"",0,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,10,13,11.5,1,1.3,1.15,8,25,16.5,0
"79","Acacia argyrophylla","2.0-3.0",1,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-50.00","6.00-15.00","7.0-11.0","",2,6,NA,NA,NA,1,"",NA,"",NA,NA,NA,"0.5-0.7","","",0,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,9,NA,NA,NA,0.5,0.7,0.6,2,3,2.5,0
"80","Acacia argyrotricha","1.0-2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","100.00-150.00","1.00-1.80","7.5","2.50",NA,6,NA,2,NA,1,"",2,"",NA,NA,NA,"0.3-0.4","0.17-0.20","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,7.5,2.5,2.5,2.5,0.3,0.4,0.35,1,2,1.5,0
"81","Acacia arida","0.5-2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-60.00","1.00-4.00","4.0-6.5","",0,0,NA,NA,0,1,"",3,"",1,1,NA,"0.5-0.7","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(0)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.5,5.25,NA,NA,NA,0.5,0.7,0.6,0.5,2,1.25,0
"82","Acacia aristulata","1.0",1,NA,NA,"","","","","2.00-3.00","",NA,"","","","","","","","","","","","","",0,"","7.00-10.00","2.00-3.50","6.0","4.00-5.00",NA,1,4,25,NA,0,"1.0",23,"",NA,NA,NA,"0.4","","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,5,4.5,0.4,0.4,0.4,1,1,1,0
"83","Acacia armillata","8.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","75.00-150.00","5.00-20.00","10.0","6.00-11.00",NA,6,1,2,1,1,"",0,"",0,NA,NA,"5.0","3.00","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(2)","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,6,11,8.5,5,5,5,8,8,8,0
"84","Acacia armitii","7.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","90.00-170.00","6.00-17.00","2.7-5.5","2.50-4.70",3,6,3,NA,NA,1,"",2,"",1,NA,NA,"0.2-0.3","","",0,"5.0-10.0",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,5.5,4.1,2.5,4.7,3.6,0.2,0.3,0.25,7.5,7.5,7.5,0
"85","Acacia arrecta","0.5-1.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-43.00","0.70-1.20","3.5-5.5","4.00-6.00",3,0,NA,3,1,1,"",3,"",1,17,NA,"0.3-0.4","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5.5,4.5,4,6,5,0.3,0.4,0.35,0.5,1,0.75,0
"86","Acacia ascendens","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","20.00-40.00","1.00","7.0","5.00",NA,0,3,NA,NA,1,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,5,5,5,NA,NA,NA,2,2,2,0
"87","Acacia asepala","0.5-1.5",1,0,NA,"","","","","0.20","",0,"","","","","","","","","","","","","",0,"","10.00-25.00","1.00","1.0-4.0","5.00-8.00",NA,1,2,25,1,0,"",3,"",NA,NA,NA,"3.0","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2.5,5,8,6.5,3,3,3,0.5,1.5,1,0
